author_id,speaker_name,speaker_occupation,speaker_description
223,Yochai Benkler,Legal expert,"Yochai Benkler has been called ""the leading intellectual of the information age."" He proposes that volunteer-based projects such as Wikipedia and Linux are the next stage of human organization and economic production."
224,Amy Tan,Novelist,"Amy Tan is the author of such beloved books as <em>The Joy Luck Club, The Kitchen God's Wife</em> and <em>The Hundred Secret Senses.</em>"
225,They Might Be Giants,Band,"John Linnell and John Flansburgh are They Might Be Giants: multi-instrumental, tech-savvy and implacably prolific, they are the musicians of choice of geeks, tinkerers and curious kids of all ages."
226,Ernest Madu,Cardiologist,"Ernest Madu founded the Heart Institute of the Caribbean, a revolutionary clinic for cardiovascular diseases in Kingston, Jamaica -- revolutionary for offering first-class health care in a developing nation. His next stop: Nigeria."
227,Brian Greene,Physicist,"Brian Greene is perhaps the best-known proponent of superstring theory, the idea that minuscule strands of energy vibrating in a higher dimensional space-time create every particle and force in the universe."
228,Brian Cox,Physicist,"Physicist Brian Cox has two jobs: working with the Large Hadron Collider at CERN, and explaining big science to the general public. He's a professor at the University of Manchester."
229,Paul Stamets,Mycologist,"Paul Stamets believes that mushrooms can save our lives, restore our ecosystems and transform other worlds."
230,Paul Ewald,Evolutionary biologist,"After years of studying illness from the germs' point of view, microbiologist Paul Ewald believes that Big Pharma is wrong about some very big issues. What's right? The leader in evolutionary medicine posits radical new approaches."
231,Michael Moschen,Juggler,"Quite simply, Michael Moschen has revolutionized juggling, refining it into an art and a bit of a science. With a few flying balls and well-chosen props he will completely re-wire your notions of the physically possible."
232,Newton Aduaka,Filmmaker,"Newton Aduaka's award-winning <em>Ezra</em>, told through the eyes of a young boy in Sierra Leone, illuminates one of the most harrowing consequences of war: the recruitment of child soldiers."
234,Mark Bittman,Food writer,"Mark Bittman is a bestselling cookbook author, journalist and television personality. His friendly, informal approach to home cooking has shown millions that fancy execution is no substitute for flavor and soul."
235,Robert Ballard,Oceanographer,"On more than 120 deep-sea expeditions, Robert Ballard has made many major natural discoveries, such as the deep-sea vents. Oh, and he found the Titanic."
236,Yves Béhar,Designer,"Yves Béhar is a designer, entrepreneur and avid surfer whose principles for good design have been deeply influential across the field."
237,Seyi Oyesola,Doctor,"Physician Seyi Oyesola co-developed the ""Hospital in a Box"" -- a pop-up, portable, solar-powered OR for off-grid medicine in Africa and elsewhere. But, he says, Africa needs more than new tools to heal itself."
238,Nathan Myhrvold,Polymath,"Nathan Myhrvold is a professional jack-of-all-trades. After leaving Microsoft in 1999, he's been a world barbecue champion, a wildlife photographer, a chef, a contributor to SETI, and a volcano explorer."
239,Arthur Ganson,Sculptor,Arthur Ganson's kinetic metal sculptures mix high art with gearhead humor. He's also the inventor of the kids' construction toy Toobers & Zots.
240,Paul Collier,Economist,"Paul Collier’s book The Bottom Billion shows what is happening to the poorest people in the world, and offers ideas for opening up opportunities to all."
241,Susan Blackmore,Memeticist,"Susan Blackmore studies memes -- those self-replicating ""life forms"" that spread themselves via human consciousness. We're now headed, she believes, toward a new form of meme, spread by the technology we've created."
242,Philip Zimbardo,Psychologist,"Philip Zimbardo was the leader of the notorious 1971 Stanford Prison Experiment -- and an expert witness at Abu Ghraib. His book The Lucifer Effect explores the nature of evil; now, in his new work, he studies the nature of heroism."
243,Clay Shirky,Social Media Theorist,"Clay Shirky argues that the history of the modern world could be rendered as the history of ways of arguing, where changes in media change what sort of arguments are possible -- with deep social and political implications."
245,Julie Taymor,Director,"Julie Taymor is a film, theater and opera director. She is known for lavish movies such as Frida and for her hit Broadway musicals, The Lion King and Spider-Man: Turn Off the Dark."
246,Chris Jordan,Artist,"Chris Jordan runs the numbers on modern American life -- making large-format, long-zoom artwork from the most mindblowing data about our stuff."
247,Benjamin Zander,Conductor,"A leading interpreter of Mahler and Beethoven, Benjamin Zander is known for his charisma and unyielding energy -- and for his brilliant pre-concert talks."
248,Nellie McKay,Singer/songwriter,"Nellie McKay sings, croons, raps, grooves and -- barks? -- to glowing critical acclaim."
249,Adam Grosser,Venture capitalist,Adam Grosser is a general partner at Foundation Capital -- and a refrigeration visionary.
250,Sxip Shirey + Rachelle Garniez,Musician,"A real-life circus composer, Sxip Shirey makes haunting melodies from familiar objects and reconfigured sounds."
251,Rick Smolan,Photographer,Rick Smolan is the co-founder of the America 24/7 and Day in the Life photography series -- and a natural storyteller in many media. His latest books are America at Home and Blue Planet Run.
252,Peter Diamandis,Space activist,"Peter Diamandis runs the X Prize Foundation, which offers large cash incentive prizes to inventors who can solve grand challenges like space flight, low-cost mobile medical diagnostics and oil spill cleanup. He is the chair of Singularity University, which teaches executives and grad students about exponentially growing technologies."
253,Rachelle Garniez,Musician,"Mischievous and deeply original, accordionist Rachelle Garniez plays her own witty songs and gives a beautiful swing to the classics."
254,Corneille Ewango,Botanist and activist,"As a botanist at the Okapi Wildlife Reserve in the Congo basin, Corneille Ewango has faced down poachers and soldiers who threaten this delicate and vital ecosystem."
255,Torsten Reil,Animating neurobiologist,"By coding computer simulations with biologically modeled nervous systems, Torsten Reil and his company NaturalMotion breathe life into the animated characters inhabiting the most eye-poppingly realistic games and movies around."
256,A.J. Jacobs,Author,"Immersing himself in alternate lifestyles and hilarious experiments (usually with himself as the guinea pig), writer A.J. Jacobs tests the limits of behavior, customs, culture -- and reports back on the wisdom and practical knowledge he's gained."
257,Martin Seligman,Psychologist,"Martin Seligman is the founder of positive psychology, a field of study that examines healthy states, such as happiness, strength of character and optimism."
258,Billy Graham,Preacher,"In his long career as a religious evangelist, the Rev. Billy Graham spoken to millions around the world and served as advisor to US presidents."
259,Freeman Dyson,Physicist,"With Freeman Dyson's astonishing forecasts for the future, it was hard to tell where science ended and science fiction began. But far from being a wild-eyed visionary, Dyson was a clear and sober thinker -- and one not afraid of controversy or heresy."
260,Louise Leakey,Paleoanthropologist,"Louise Leakey hunts for hominid fossils in East Africa, in the family tradition."
261,Marisa Fick-Jordan,Craft artist,"South African product designer Marisa Fick-Jordan works with Zulu wire artists to develop a sustainable, worldwide market for their bold and shimmering work."
262,Reed Kroloff,Architecture critic,"With an outspoken approach to the problems of rebuilding cites and a fearless eye for design, Reed Kroloff is helping to change the urban landscape of cities from New York to New Orleans."
263,Kwabena Boahen,Bioengineer,"Kwabena Boahen wants to understand how brains work -- and to build a computer that works like the brain by reverse-engineering the nervous system. His group at Stanford is developing Neurogrid, a hardware platform that will emulate the cortex’s inner workings."
264,Robert Lang,Origamist,Robert Lang merges mathematics with aesthetics to fold elegant modern origami. His scientific approach helps him make folds once thought impossible -- and has secured his place as one of the first great Western masters of the art.
266,Bruno Bowden + Rufus Cappadocia,Engineer and origamist,"An engineer with Google (he helped build Google Earth), Bruno Bowden is also an enthusiastic folder of paper."
267,Ory Okolloh,Blogger and activist,"Ory Okolloh maintains the blog Mzalendo, providing an unprecedented look at the doings of Kenya's parliament -- information once unavailable to Kenyan citizens."
268,Spencer Wells,Genographer,"Spencer Wells studies human diversity -- the process by which humanity, which springs from a single common source, has become so astonishingly diverse and widespread."
269,Lennart Green,Close-up card magician,"Cards that fly all over the table, spill onto the floor, and disappear beneath a laser beam. Welcome to the chaotic and flabbergasting magical world of Lennart Green, grand master of close-up card trickery."
270,David Griffin,Director of photography,"As director of photography for National Geographic, David Griffin works with some of the most powerful photographs the world has ever seen."
271,Patricia Burchat,Particle physicist,"Patricia Burchat studies the structure and distribution of dark matter and dark energy. These mysterious ingredients can't be measured in conventional ways, yet form a quarter of the mass of our universe."
272,Ian Dunbar,Animal behaviorist,"Veterinarian, dog trainer and animal behaviorist Ian Dunbar understands our pets' point of view. By training dog owners in proper conduct (as much as he trains the dogs themselves), he hopes to encourage better relationships with dogs -- not to mention their friends and children, too."
273,John Q. Walker,Musician and inventor,"Software entrepreneur John Q. Walker uses computers to bring piano legends back to life -- digitally reconstructing their performances from audio tracks and playing them on real instruments, live."
274,Noah Feldman,Constitutional law scholar,"Noah Feldman studies the intersection of religion, politics and law."
276,Jonathan Drori,Educator,"Jonathan Drori commissioned the BBC's very first websites, one highlight in a long career devoted to online culture and educational media -- and understanding how we learn."
277,Einstein the Parrot,African grey parrot,"Einstein, the African grey parrot, has a vocabulary of more than 200 words and sounds; she can perform nearly half on cue."
278,Jonathan Haidt,Social psychologist,Jonathan Haidt studies how -- and why -- we evolved to be moral and political creatures.
279,Peter Hirshberg,Entrepreneur,"A Silicon Valley executive, entrepreneur and marketing specialist, Peter Hirshberg might just be the definitive voice on how new technology affects business and culture."
281,Keith Bellows,Traveler,"On the heels of a long and bruising camel ride, Keith Bellows became fascinated with the ""SUV of the sand,"" and with the many thorny aspects of their personalities (and mating habits) most of us would rather not dwell upon."
282,Brewster Kahle,Digital librarian,"Brewster Kahle is an inventor, philanthropist and digital librarian. His Internet Archive offers 85 billion pieces of deep Web geology -- a fascinating look at the formation of the Internet over the years, and a challenge to those who would keep knowledge buried."
283,Ann Cooper,Lunch lady,"Ann Cooper cares -- a lot -- what kids eat for lunch. As the head of nutrition for Berkeley, California, schools, she serves organic, regionally sourced and sustainable meals to lots of lucky children."
284,David S. Rose,Angel Investor,"""The Pitch Coach"" David S. Rose is an expert on the business pitch. As an entrepreneur, he has raised millions for his own companies. As an investor, he has funded millions more."
285,Marvin Minsky,AI pioneer,"Marvin Minsky is one of the great pioneers of artificial intelligence -- and using computing metaphors to understand the human mind. His contributions to mathematics, robotics and computational linguistics are legendary and far-reaching."
286,Caleb Chung,Toy designer,"Caleb Chung dreams up toys that interact with children. He's the inventor of Furby, a talking (and listening) robotic furball that sold some 50 million units in the late '90s. His newest plaything: Pleo the adorable robot dinosaur."
287,Laura Trice,Counselor,"Laura Trice is a counselor, life coach -- and purveyor of wholesome junk food."
289,Rodney Brooks,Roboticist,Rodney Brooks builds robots based on biological principles of movement and reasoning. The goal: a robot who can figure things out.
290,Elizabeth Diller,Architect,"Elizabeth Diller and her maverick firm DS+R bring a groundbreaking approach to projects in architecture, urban design and art by playing with new materials and tampering with space and spectacle in ways that make you look twice."
291,David Perry,Game designer,"Dave Perry is the visionary game designer behind some of the most beloved titles of the past two decades -- Earthworm Jim, MDK, Messiah, and game adaptations of films such as Terminator and The Matrix."
292,Doris Kearns Goodwin,Historian,"Doris Kearns Goodwin writes insightful books on the US Presidency (JFK, LBJ, FDR and Lincoln, so far), telling each president's personal story against the backdrop of history."
294,James Burchfield,Human beatbox,"James Burchfield is a human beatbox. Using only his mouth, tongue, throat and vocal cords, he performs heavy, layered, club-style jams that seem to come from real drum machines and lusciously scratched turntables."
295,Jared Diamond,Civilization scholar,Jared Diamond investigates why cultures prosper or decline -- and what we can learn by taking a broad look across many kinds of societies.
296,Mihaly Csikszentmihalyi,Positive psychologist,"Mihaly Csikszentmihalyi contributed pioneering work to our understanding of happiness, creativity, human fulfillment and the notion of ""flow"" -- a state of heightened focus and immersion in activities such as art, play and work."
297,Garrett Lisi,Physicist,"Physicist Garrett Lisi has proposed a new ""theory of everything"" -- a grand unified theory that explains all the elementary particles, as well as gravity."
299,John Hodgman,Expert,"John Hodgman is a writer, humorist, geek celebrity, former professional literary agent and expert on all world knowledge. He was the bumbling PC in Apple's long-running ""I'm a Mac; I'm a PC"" ad campaign."
300,Virginia Postrel,Journalist,"Virginia Postrel is a writer and cultural critic who examines the hidden economics of modern society, poking at the unexamined ideas behind the march of progress."
301,Kristen Ashburn,Photographer,"Kristen Ashburn's photographs bring us face-to-face with real people in desperate circumstances. Taking us to the intimate spaces of her subjects -- the victims of war, disaster, epidemic -- she elicits the sublime sadness and resolve of human beings in suffering."
302,Laurie Garrett,Science journalist,"Pulitzer winner Laurie Garrett studies global health and disease prevention. Her books include ""The Coming Plague"" and ""Betrayal of Trust,"" about the crisis in global public health."
303,Zach Kaplan + Keith Schacht,Inventor,"Keith Schacht co-founded Inventables, a hothouse for innovation. More recently he's brought us the JobCoin listings board, the Freshwater Venture entrepreneur map, and Facebook's Grow-a-Gift."
305,Graham Hawkes,Inventor,"A world-renowned engineer and inventor, Graham Hawkes wants to revolutionize the way we experience the oceans. He created the Deep Flight series of winged submersibles, which ""fly"" to the depths of the oceans with the power and elegance of an airplane."
306,James Surowiecki,Finance journalist,"James Surowiecki argues that people, when we act en masse, are smarter than we think. He's the author of The Wisdom of Crowds and writes about finance for the New Yorker."
307,John Francis,Planet walker,"John Francis walks the Earth, carrying a message of careful, truly sustainable development and respect for our planet."
308,Tim Brown,Designer,"Tim Brown is the CEO of the ""innovation and design"" firm IDEO -- taking an approach to design that digs deeper than the surface."
309,Luca Turin,Nose,"Biophysicist Luca Turin studies the science of smell. He's the author of Perfumes: The Guide, and the subject of Chandler Burr's 2003 book The Emperor of Scent. His next project: developing an artificial nose."
310,Lee Smolin,Physicist,"Lee Smolin is a theoretical physicist, working mainly in the field of quantum gravity. He's a founding member of the Perimeter Institute for Theoretical Physics in Canada, and the author of The Trouble With Physics."
311,Samantha Power,Political scientist and journalist,"Samantha Power studies US foreign policy, especially as it relates to war and human rights. Her books take on the world's worst problems: genocide, civil war and brutal dictatorships."
312,Isaac Mizrahi,Fashion designer,"Fashion designer Isaac Mizrahi mixes high fashion and the mass market, with a line of haute couture and a line for Target. Plus a talk show, a cabaret act, a movie, a new book ..."
313,Charles Elachi,Planetary scientist,"Charles Elachi is the director of NASA's Jet Propulsion Laboratory, where he oversees space exploration programs such as the Mars Rovers."
314,Ursus Wehrli,Comedian,Comedian and cabaret artist Ursus Wehrli is on a crusade to tidy up art.
315,Franco Sacchi,Filmmaker,"Franco Sacchi is the director of This Is Nollywood, the story of Nigeria's massive homegrown film industry."
316,George Smoot,Astrophysicist,"Astrophysicist, cosmologist and Nobel Prize winner George Smoot studies the cosmic microwave background radiation -- the afterglow of the Big Bang. His pioneering research into deep space and time is uncovering the structure of the universe itself."
317,Bill Joy,Technologist and futurist,"The co-founder of Sun Microsystems, Bill Joy has, in recent years, turned his attention to the biggest questions facing humanity: Where are we going? What could go wrong? What's the next great thing?"
318,Dan Barber,Chef,Dan Barber is a chef and a scholar -- relentlessly pursuing the stories and reasons behind the foods we grow and eat.
319,Andy Hobsbawm,Internet entrepreneur,"Andy Hobsbawm is the founder and CMO of Evrythng.com and the founder of_x000D_
the website Do The Green Thing."
320,Gregory Petsko,Bioengineer,"Gregory Petsko is a biochemist who studies the proteins of the body and their biochemical function. Working with Dagmar Ringe, he's doing pioneering work in the way we look at proteins and what they do."
321,P.W. Singer,Military analyst,"In P.W. Singer's most recent book, ""Wired for War,"" he studies robotic and drone warfighters -- and explores how these new war machines are changing the very nature of human conflict. He has also written on other facets of modern war, including private armies and child soldiers."
322,Catherine Mohr,Roboticist,Catherine Mohr loves what she does -- she's just not ever sure what it will be next.
323,Richard Preston,Writer,"Richard Preston wrote The Hot Zone, a classic look at the Ebola virus and the scientists who fight it. His wide-ranging curiosity about science and people has led him to cover a dizzying list of topics, with a lapidary attention to detail and an ear for the human voice."
325,Philip Rosedale,Entrepreneur,"Philip Rosedale (avatar ""Philip Linden"") is founder of Second Life, an online 3D virtual world inhabited by millions. He's chair of Linden Labs, the company behind the digital society."
326,Daniel Libeskind,Architect,Being a designer of breathtaking and sometimes confounding buildings seems almost a footnote to the amazing life of architect Daniel Libeskind.
328,Bonnie Bassler,Molecular biologist,"Bonnie Bassler studies how bacteria can communicate with one another, through chemical signals, to act as a unit. Her work could pave the way for new, more potent medicine."
331,Yann Arthus-Bertrand,Photographer,"With photography, Yann Arthus-Bertrand has captured the beauty of the Earth. Through video and film, his latest projects bind together ecology and humanism. For him, it's all about living together."
332,Dan Ariely,Behavioral economist,Dan Ariely questions the forces that influence human behavior and the irrational ways we often behave.
334,Margaret Wertheim,Figurer,"By masterminding a project to model a coral reef armed only with crochet hooks, Margaret Wertheim hopes to bring some of the most complicated mathematical models embodied in our universe into the minds (and hands) of the masses."
335,Mary Roach,Writer,"Death, the afterlife, and now sex -- Mary Roach tackles the most pondered and least understood conundrums that have baffled humans for centuries. (She's funny, too.)"
336,Olafur Eliasson,Artist,The transparent simplicity and experiential nature of Olafur Eliasson's work has built his reputation as one of the world's most accessible creators of contemporary art.
337,Oliver Sacks,Neurological anthropologist,"Since ""Awakenings"" stormed the bestseller lists (and the silver screen), Oliver Sacks has become an unlikely household name, single-handedly inventing the genre of neurological anthropology."
338,Tim Berners-Lee,Inventor,"Tim Berners-Lee invented the World Wide Web. He leads the World Wide Web Consortium (W3C), overseeing the Web's standards and development."
339,Bill Gates,Technologist,"A passionate tech visionary, Bill Gates changed the world while leading Microsoft to dizzying success. Now he's doing it again through his global philanthropic work that strives to reduce inequity everywhere."
340,Nina Jablonski,Anthropologist,"Nina Jablonski is author of Skin: A Natural History, a close look at human skin’s many remarkable traits: its colors, its sweatiness, the fact that we decorate it."
341,Louise Fresco,Food and agriculture expert,"A powerful thinker and globe-trotting advisor on sustainability, Louise Fresco says it's time to think of food as a topic of social and economic importance on par with oil -- that responsible agriculture and food consumption are crucial to world stability."
342,Nandan Nilekani,Technologist and visionary,"Nandan Nilekani is the author of ""Imagining India,"" a radical re-thinking of one of the world’s great economies. The co-founder of Infosys, he helped move India into the age of IT."
343,Natasha Tsakos,Artist,"The president and founder of NTiD inc., Natasha Tsakos brings a creative, innovative vision, and the art of orchestrating and synchronizing various disciplines, to the execution of high-leveled productions."
344,Bruce Bueno de Mesquita,Political scientist,"A consultant to the CIA and the Department of Defense, Bruce Bueno de Mesquita has built an intricate computer model that can predict the outcomes of international conflicts with bewildering accuracy."
346,Ed Ulbrich,Visual storyteller,"Ed Ulbrich works at the leading edge of computer-generated visuals. On a recent project, filmmakers, artists, and technologists have been working at a breakthrough point where reality and digitally created worlds collide."
347,Sylvia Earle,Oceanographer,"Sylvia Earle has been at the forefront of ocean exploration for more than four decades. The winner of the 2009 TED Prize, she's a tireless advocate for our oceans."
348,Jill Tarter,Astronomer,"SETI's Jill Tarter has devoted her career to hunting for signs of sentient beings elsewhere. Winner of the 2009 TED Prize, almost all aspects of her field have been affected by her work."
349,José Antonio Abreu,Maestro,José Antonio Abreu founded El Sistema in 1975 to help Venezuelan kids learn to play musical instruments and be part of an orchestra. The TED Prize winner's bold idea has seeded hundreds of youth orchestras -- and many happy lives.
350,Liz Coleman,College president,"Liz Coleman radically remade Bennington College in the mid-1990s, in pursuit of a new vision: higher education as a performing art."
351,Ray Anderson,Sustainable-business pioneer,Ray Anderson founded the company that makes covetable Flor carpeting. But behind the fresh design is a decades-deep commitment to sustainable ways of doing business -- culminating in the Mission Zero plan.
352,Larry Burns,Automotive researcher,Larry Burns is the vice president of R&D for GM. His job? Find a new way to power cars.
353,Nick Sears,Inventor,"Working with his father, Ron Sears, Nick Sears is designing and building the Orb, a rotating LED display that uses persistence of vision to produce moving images in 3D space."
354,Nathan Wolfe,Virus hunter,"Armed with blood samples, high-tech tools and a small army of fieldworkers, Nathan Wolfe hopes to re-invent pandemic control -- and reveal hidden secrets of the planet's dominant lifeform: the virus."
355,Alex Tabarrok,Economist,"With the hit economic blog MarginalRevolution.com, co-author Alex Tabarrok generates more hits than a summer hailstorm, and sheds light into the darkest corners of the dismal science."
356,Shai Agassi,Green auto pioneer,Shai Agassi wants to put you behind the wheel of an electric car -- but he doesn't want you to sacrifice convenience (or cash) to do it.
359,Naturally 7,A capella ensemble,"The group Naturally 7 practices vocal play -- the art of using the human voice to mimic instruments. It's as if a beatboxing troupe decided they could ""-box"" a whole orchestra: flute, horns, drums, guitar -- building a vocal wall of sound."
360,Jacek Utko,Newspaper designer,"Could good design save the newspaper -- at least for now? Jacek Utko thinks so -- and his lively, engaging designs for European papers prove that it works."
361,Elizabeth Gilbert,Writer,"The author of ""Eat, Pray, Love,"" Elizabeth Gilbert has thought long and hard about some big topics. Her fascinations: genius, creativity and how we get in our own way when it comes to both."
362,Pattie Maes + Pranav Mistry,Researcher,"As head of the MIT Media Lab's Fluid Interfaces Group, Pattie Maes researches the tools we use to work with information and connect with one another."
363,Thelma Golden,Curator,Opening minds and showcasing new voices -- it's all part of the job description for Studio Museum in Harlem director and chief curator Thelma Golden.
364,Nalini Nadkarni,Tree researcher,"Called ""the queen of canopy research,"" Nalini Nadkarni explores the rich, vital world found in the tops of trees. She communicates what she finds to non-scientists -- with the help of poets, preachers and prisoners."
365,David Holt,Folk musician,"Four-time Grammy Award-winning folk musician David Holt is a born troubadour. Behind his energizing musicianship (often featuring unusual instruments like ""the paper bag"") is a deep love of hidden Appalachian wisdom and storytelling that shines on every stage he takes."
366,Willie Smits,Conservationist,"Willie Smits has devoted his life to saving the forest habitat of orangutans, the ""thinkers of the jungle."" As towns, farms and wars encroach on native forests, Smits works to save what is left."
370,Sarah Jones,Polymorphic playwright,"Tony Award-winning monologist, UNICEF ambassador, firebrand and FCC-fighting poet -- Sarah Jones assumes as many roles offstage as on."
371,Nate Silver,Statistician,Math whiz and baseball fan Nate Silver was mainly known for predicting outcomes in fantasy ballgames -- until his technique hit a home run calling the outcome of the 2008 election primaries.
372,Eva Zeisel,Designer,"The legendary Eva Zeisel worked as a ceramics designer -- whose curvy, sensual pieces bring delight and elegance to tabletops around the world."
374,Dennis vanEngelsdorp,Bee expert,"Dennis vanEngelsdorp is Acting State Apiarist for Pennsylvania's Department of Agriculture, studying colony collapse disorder -- the alarming, worldwide disappearance of worker bees and Western honey bees."
376,Jay Walker,Entrepreneur,"Jay Walker is fascinated by intellectual property in all its forms. His firm, Walker Digital, created Priceline and many other businesses that reframe old problems with new IT. In his private life, he's a bibliophile and collector on an epic scale."
378,Benjamin Wallace,Author,"Benjamin Wallace is a journalist and author of <i>The Billionaire's Vinegar</i>, the true story of the world's most expensive bottle of (possibly phony?) wine. He's been a contributor to <i>GQ</i>, <i>Details</i>, <i>Salon</i> and <i>The Washington Post</i>."
379,JoAnn Kuchera-Morin,Composer,Composer JoAnn Kuchera-Morin is the director of the Center for Research in Electronic Art Technology (CREATE) at UC Santa Barbara.
380,Herbie Hancock,Jazz legend,"Herbie Hancock is an iconic jazz musician, known as much for his mastery of the traditional as he is for entirely changing the game."
381,Penelope Boston,Cave scientist,"Penelope Boston studies caves and karst formations, and the special biology that lives in them -- both here on Earth and possibly on other planets."
382,Steven Strogatz,Mathematician,"In his work in applied mathematics, Steven Strogatz studies the way math and biology intersect."
383,Jennifer 8. Lee,Reporter,Jennifer 8. Lee reports on culture and city life.
384,Kary Mullis,Biochemist,"Kary Mullis won the Nobel Prize in Chemistry for developing a way to copy a strand of DNA. (His technique, called PCR, jump-started the 1990s' biorevolution.) He's known for his wide-ranging interests -- and strong opinions."
385,Paul Sereno,Paleontologist,"Surely not the only science career based on a museum tour epiphany, Paul Sereno's is almost certainly the most triumphant. He's dug up dinosaurs on five continents -- and discovered the world's largest crocodile, the (extinct) 40-foot <i>Sarchosuchus</i>."
386,Paul Moller,Inventor,"With a team of engineers, Paul Moller works on the Skycar, a combination car and jet, as well as the M200, a saucer-shaped hovering car. He also develops next-generation engines to power these and other amazing vehicles."
387,Greg Lynn,Designer,"Greg Lynn is the head of Greg Lynn FORM, an architecture firm known for its boundary-breaking, biomorphic shapes and its embrace of digital tools for design and fabrication."
388,Rob Forbes,Designer,"Rob Forbes founded Design Within Reach, the furniture company that brought high design to the general public."
389,Scott McCloud,Cartoonist,"Scott McCloud is author of <i>Understanding Comics</i>, a comic book about comics. He's an evangelist for comics as a valid literary form (as more than pulp and kids' stuff) and his admiring fans include a laundry list of superstar cartoonists."
390,Peter Reinhart,Baker,"Master breadmaker Peter Reinhart is also a teacher, author and theologian. Through his lectures and numerous cookbooks, he channels the science of baking into deep, spiritual lessons -- and dispels stale myths about the nature (and flavor) of good, wholesome bread."
392,Joseph Pine,Writer,"A writer and veteran consultant to entrepreneurs and executives alike, Joseph Pine's books and workshops help businesses create what modern consumers really want: authentic experiences."
393,Paula Scher,Designer at play,"With a career that fuses rock and roll, corporate identity creation, and impressionistic geography, Paula Scher is a master conjurer of the instantly familiar."
394,Barry Schuler,Entrepreneur,"Barry Schuler's multimedia firm Medior built key interactive technologies for AOL, helping millions connect to the Internet through a simple, accessible interface. Now, through venture capital (and wine appreciation), he wants to do the same for genomics."
395,David Carson,Type designer,"David Carson is the ""grunge typographer"" whose magazine Ray Gun helped explode the possibilities of text on a page."
398,Peter Ward,Paleontologist,"Peter D. Ward studies life on Earth -- where it came from, how it might end, and how utterly rare it might be."
399,Ray Zahab,Endurance runner,"In January 2009, Ray Zahab broke the record for fastest unsupported trek across Antarctica, to raise awareness and money for kids' environmental education. In 2006, he ran across the Sahara to raise awareness of water shortages. (He started running 5 years ago.)"
400,Jamais Cascio,World-builder,"Jamais Cascio follows the threads of civilization's intended (and unintended) consequences into an unpredictable future, bringing back glimpses of a green world wired beyond our wildest dreams."
401,Woody Norris,Inventor,"Woody Norris is a serial inventor of electronics, tools and cutting-edge sonic equipment -- such as the LRAD acoustic cannon."
402,Aimee Mullins,Athlete and actor,"A record-breaker at the Paralympic Games in 1996, Aimee Mullins has built a career as a model, actor and advocate for women, sports and the next generation of prosthetics."
403,Joe DeRisi,Biochemist,"Joe DeRisi hunts for the genes that make us sick. At his lab, he works to understand the genome of Plasmodium falciparum, the deadliest form of malaria."
404,Ueli Gegenschatz,Aerialist,"Ueli Gegenschatz took flight just about every way a human can: paragliding, skydiving, BASE jumping (from the Eiffel Tower), and most breathtakingly: by donning a wingsuit and soaring."
405,Bill Gross,Idea guy,"Bill Gross founded Idealab, an incubator of new inventions, ideas and businesses."
406,Milton Glaser,Graphic designer,"If his career began and ended with ""I [heart] N Y,"" Milton Glaser would still be a legend. But over his multi-decade career, his body of work is sprinkled with similarly iconic images and logos."
407,David Merrill,MIT grad student,"David Merrill works on Siftables, tiny computer blocks that interact with each other to make networks (and music)."
408,Gustavo Dudamel and the Teresa Carreño Youth Orchestra,Ensemble,"The Teresa Carreño Youth Orchestra is the national high-school-age youth orchestra of El Sistema, made up of the best young musicians from throughout Venezuela. Gustavo Dudamel, himself a product of El Sistema, is the new musical director of the LA Philharmonic."
409,Charles Moore,Oceanographer,"Charles Moore is founder of the Algalita Marine Research Foundation. He captains the foundation's research vessel, the <i>Alguita</i>, documenting the great expanses of plastic waste that now litter our oceans."
410,Richard Pyle,Ichthyologist,"Ichthyologist Richard Pyle is a fish nerd. In his quest to discover and document new species of fish, he has also become a trailblazing exploratory diver and a pioneer of database technology."
411,Miru Kim,Photographer and explorer,Miru Kim is a fearless explorer of abandoned and underground places. Her photography underscores the vulnerable nature of the human explorer in these no-woman's-lands.
412,Evan Williams,Twitter co-founder,"Evan Williams is the co-founder of Twitter, the addictive messaging service that connects the world 140 characters at a time."
413,Brenda Laurel,Designer and theorist,"Brenda Laurel has been part of several major revolutions in the way humans use computers: virtual reality, interactive narratives and some fresh approaches to gaming."
414,Mike Rowe,TV host,"Mike Rowe is the host of ""Dirty Jobs"" -- an incredibly entertaining and heartfelt tribute to hard labor."
415,ELEW and Marcus Miller,Pianist,"Eric Lewis (aka ELEW) fuses a highly intricate style of jazz improvisation with physical, rocking grooves in a musical cocktail he calls ""Rockjazz."""
416,Don Norman,Cognitive scientist and design critic,"Don Norman studies how real people interact with design, exploring the gulf between what a designer intends and what a regular person actually wants. His work has resulted in some classic books, including ""The Design of Everyday Things."""
417,Pranav Mistry,Director of research,"As an MIT grad student, Pranav Mistry invented SixthSense, a wearable device that enables new interactions between the real world and the world of data."
418,Stuart Brown,Play researcher,"Stuart Brown's research shows play is not just joyful and energizing -- it's deeply involved with human development and intelligence. Through the National Institute for Play, he's working to better understand its significance."
419,Beau Lotto,Neuroscientist,Beau Lotto seeks to pull aside the curtain of why we see what we do in order to create the possibility and agency in deciding what to perceive next.
420,Marcus du Sautoy,Mathematician,"Oxford's newest science ambassador Marcus du Sautoy is also author of <i>The Times</i>' Sexy Maths column. He'll take you footballing with prime numbers, whopping symmetry groups, higher dimensions and other brow-furrowers."
